Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-03-02 00:00:00-05:00,64.51032271704258,64.87867736816406,63.98111261130671,64.87867736816406,11653600,0.0,0.0
2015-03-03 00:00:00-05:00,64.96260827352064,64.96260827352064,63.761972912184085,64.18161010742188,8807200,0.0,0.0
2015-03-04 00:00:00-05:00,64.14663671606888,64.14663671606888,63.47055145681721,63.82025146484375,8021200,0.0,0.0
2015-03-05 00:00:00-05:00,64.11164207511513,64.1442841443002,63.820225520228234,63.908817291259766,6756000,0.0,0.0
2015-03-06 00:00:00-05:00,63.73866187279536,63.990449896362236,62.77115981117376,62.79214096069336,11590800,0.0,0.0
2015-03-09 00:00:00-04:00,63.06722813673573,63.46122404776773,62.73151556029823,63.27705383300781,8902000,0.0,0.0
2015-03-10 00:00:00-04:00,62.86205855001168,62.9133410395085,61.82694625854492,61.82694625854492,11125600,0.0,0.0
2015-03-11 00:00:00-04:00,61.92720435648397,62.335187662705934,61.325716412241896,61.7220458984375,12105200,0.0,0.0
2015-03-12 00:00:00-04:00,62.10668724534187,62.94596824487239,62.08337250083746,62.84804916381836,9530800,0.0,0.0
2015-03-13 00:00:00-04:00,62.675556501105675,62.675556501105675,61.66375881699851,61.78731918334961,12578800,0.0,0.0
2015-03-16 00:00:00-04:00,62.22096125320301,62.95765635528854,62.16034430740338,62.717529296875,9849600,0.0,0.0
2015-03-17 00:00:00-04:00,62.493715162009586,62.56365230987429,61.579836561478366,61.663761138916016,14290800,0.0,0.0
2015-03-18 00:00:00-04:00,61.56816515412712,62.4750570002709,60.38385125886761,62.40278625488281,50658000,0.0,0.0
2015-03-19 00:00:00-04:00,62.321179209996885,62.656891643615324,61.31404190914157,62.30252456665039,15407500,0.0,4.0
2015-03-20 00:00:00-04:00,62.71285563943626,63.13249271978272,62.27456391149107,62.862064361572266,15372000,0.0,0.0
2015-03-23 00:00:00-04:00,63.44022100862108,63.608077238914674,62.5449901519427,62.554317474365234,8128000,0.0,0.0
2015-03-24 00:00:00-04:00,62.57298278808594,63.12318113278597,62.33052213882841,62.57298278808594,6534800,0.0,0.0
2015-03-25 00:00:00-04:00,62.57295271724738,62.88069026479969,61.295387268066406,61.295387268066406,13054300,0.0,0.0
2015-03-26 00:00:00-04:00,60.84779045905717,61.8269531513902,60.63330469556943,61.16484832763672,9487200,0.0,0.0
2015-03-27 00:00:00-04:00,61.09956663642568,61.37000209385427,60.754533936853,61.118221282958984,6521100,0.0,0.0
2015-03-30 00:00:00-04:00,61.565830790443435,61.84559356021446,61.08091671945814,61.230125427246094,11237100,0.0,0.0
2015-03-31 00:00:00-04:00,61.05295136474362,61.743023958975506,60.97834699924183,60.99700164794922,7400500,0.0,0.0
2015-04-01 00:00:00-04:00,61.03428583073466,61.09956286024077,60.10175277226866,60.78250503540039,7633000,0.0,0.0
2015-04-02 00:00:00-04:00,60.60531949064029,61.19281985159661,60.43746326103311,60.88508224487305,5083000,0.0,0.0
2015-04-06 00:00:00-04:00,60.362878085371946,61.21147961066531,60.06446774141571,60.80116271972656,8351200,0.0,0.0
2015-04-07 00:00:00-04:00,60.96902169602026,61.72437847110432,60.90374465270822,61.36069107055664,6660800,0.0,0.0
2015-04-08 00:00:00-04:00,61.444612426634286,62.330516127225266,61.36068785306122,62.013458251953125,6604200,0.0,0.0
2015-04-09 00:00:00-04:00,62.07873101972296,62.311864305378315,61.32338145089183,61.95750427246094,5408500,0.0,0.0
2015-04-10 00:00:00-04:00,62.1906271613999,62.1906271613999,61.48190009938332,61.864234924316406,4628500,0.0,0.0
2015-04-13 00:00:00-04:00,61.752340303012794,62.29321118473156,61.09024268490711,61.183494567871094,5059800,0.0,0.0
2015-04-14 00:00:00-04:00,61.099570838933595,61.49124018177908,60.502750172752485,61.1088981628418,5621800,0.0,0.0
2015-04-15 00:00:00-04:00,61.174186365412666,61.46327654201871,60.89443062908194,61.2487907409668,5347100,0.0,0.0
